article_sku;category_name;foreign_key_sql
5422818479;Womens Athletic Shorts;(SELECT uuid FROM subcategory WHERE category_name='Womens Athletic Shorts')
2570740977;Slipcovers;(SELECT uuid FROM subcategory WHERE category_name='Slipcovers')
6195974233;Plus Size Tshirts;(SELECT uuid FROM subcategory WHERE category_name='Plus Size Tshirts')
3957741810;Womens Pants;(SELECT uuid FROM subcategory WHERE category_name='Womens Pants')
2749504314;Womens One-piece Swimsuits;(SELECT uuid FROM subcategory WHERE category_name='Womens One-piece Swimsuits')
1426167428;Big and Tall Graphic Tees;(SELECT uuid FROM subcategory WHERE category_name='Big and Tall Graphic Tees')
5219876777;Boys Athletic Shirts;(SELECT uuid FROM subcategory WHERE category_name='Boys Athletic Shirts')
5448526212;Womens One-piece Swimsuits;(SELECT uuid FROM subcategory WHERE category_name='Womens One-piece Swimsuits')
5313791616;Boys Athletic Shirts;(SELECT uuid FROM subcategory WHERE category_name='Boys Athletic Shirts')
5170388947;Young Adult Swimsuits;(SELECT uuid FROM subcategory WHERE category_name='Young Adult Swimsuits')
999564173;All Runner Rugs;(SELECT uuid FROM subcategory WHERE category_name='All Runner Rugs')
757642095;Mens Boots;(SELECT uuid FROM subcategory WHERE category_name='Mens Boots')
6774065013;Womens Pants;(SELECT uuid FROM subcategory WHERE category_name='Womens Pants')
5146321102;Shop Bedding;(SELECT uuid FROM subcategory WHERE category_name='Shop Bedding')
5226395312;Mens Polo Shirts;(SELECT uuid FROM subcategory WHERE category_name='Mens Polo Shirts')
5395428588;Casual Dresses;(SELECT uuid FROM subcategory WHERE category_name='Casual Dresses')
727520383;Cooling Sheets;(SELECT uuid FROM subcategory WHERE category_name='Cooling Sheets')
5366405121;Look Good While Working Out;(SELECT uuid FROM subcategory WHERE category_name='Look Good While Working Out')
606542584;Bed Sheets;(SELECT uuid FROM subcategory WHERE category_name='Bed Sheets')
5359370591;Womens Athletic Shorts;(SELECT uuid FROM subcategory WHERE category_name='Womens Athletic Shorts')
5636674604;Womens Pants;(SELECT uuid FROM subcategory WHERE category_name='Womens Pants')
6915065353;Plus Size Tops;(SELECT uuid FROM subcategory WHERE category_name='Plus Size Tops')
5548502355;Womens Blouses;(SELECT uuid FROM subcategory WHERE category_name='Womens Blouses')
281970524;Womens One-piece Swimsuits;(SELECT uuid FROM subcategory WHERE category_name='Womens One-piece Swimsuits')
442943934;Womens One-piece Swimsuits;(SELECT uuid FROM subcategory WHERE category_name='Womens One-piece Swimsuits')
388405730;Flat Sheets;(SELECT uuid FROM subcategory WHERE category_name='Flat Sheets')
40331232;Mens Workout Clothing;(SELECT uuid FROM subcategory WHERE category_name='Mens Workout Clothing')
1217339941;Plus Size Tops;(SELECT uuid FROM subcategory WHERE category_name='Plus Size Tops')
744949530;Microfiber Sheets;(SELECT uuid FROM subcategory WHERE category_name='Microfiber Sheets')
5291608666;Pillowcases;(SELECT uuid FROM subcategory WHERE category_name='Pillowcases')
1892659971;Womens Nightshirts & Gowns;(SELECT uuid FROM subcategory WHERE category_name='Womens Nightshirts & Gowns')
926616414;All Area Rugs;(SELECT uuid FROM subcategory WHERE category_name='All Area Rugs')
3043754728;Womens Activewear;(SELECT uuid FROM subcategory WHERE category_name='Womens Activewear')
5661609867;Red Hair Dye;(SELECT uuid FROM subcategory WHERE category_name='Red Hair Dye')
829098148;Kids Sheets;(SELECT uuid FROM subcategory WHERE category_name='Kids Sheets')
5395277312;High School Supplies;(SELECT uuid FROM subcategory WHERE category_name='High School Supplies')
2348411906;Comforter Sets;(SELECT uuid FROM subcategory WHERE category_name='Comforter Sets')
1728596655;All Cat Food;(SELECT uuid FROM subcategory WHERE category_name='All Cat Food')
412531616;Comforter Sets;(SELECT uuid FROM subcategory WHERE category_name='Comforter Sets')
528993905;Womens Blouses;(SELECT uuid FROM subcategory WHERE category_name='Womens Blouses')
110779998;High Heels;(SELECT uuid FROM subcategory WHERE category_name='High Heels')
1017487270;Block Heels;(SELECT uuid FROM subcategory WHERE category_name='Block Heels')
3723312924;Shop Curtains;(SELECT uuid FROM subcategory WHERE category_name='Shop Curtains')
2872285813;Shop Curtains;(SELECT uuid FROM subcategory WHERE category_name='Shop Curtains')
606223683;Duvet Cover Sets;(SELECT uuid FROM subcategory WHERE category_name='Duvet Cover Sets')
1331751223;Womens Swimsuit Cover-ups;(SELECT uuid FROM subcategory WHERE category_name='Womens Swimsuit Cover-ups')
5413039029;Womens Tops;(SELECT uuid FROM subcategory WHERE category_name='Womens Tops')
5076377125;Plus Size Pants;(SELECT uuid FROM subcategory WHERE category_name='Plus Size Pants')
2972690411;Shop Curtains;(SELECT uuid FROM subcategory WHERE category_name='Shop Curtains')
2195224775;Bathroom Rugs & Bath Mats;(SELECT uuid FROM subcategory WHERE category_name='Bathroom Rugs & Bath Mats')
2674700762;Shop Curtains;(SELECT uuid FROM subcategory WHERE category_name='Shop Curtains')
5323811559;Plus Size Tops;(SELECT uuid FROM subcategory WHERE category_name='Plus Size Tops')
485354607;Stilettos;(SELECT uuid FROM subcategory WHERE category_name='Stilettos')
1897403279;Cycling Pants;(SELECT uuid FROM subcategory WHERE category_name='Cycling Pants')
373855792;Sheet Sets;(SELECT uuid FROM subcategory WHERE category_name='Sheet Sets')
951431493;Sheet Sets;(SELECT uuid FROM subcategory WHERE category_name='Sheet Sets')
5294092563;Plus Size Pajama Sets;(SELECT uuid FROM subcategory WHERE category_name='Plus Size Pajama Sets')
429169175;All Area Rugs;(SELECT uuid FROM subcategory WHERE category_name='All Area Rugs')
182202597;NYX Professional Eye Makeup;(SELECT uuid FROM subcategory WHERE category_name='NYX Professional Eye Makeup')
164144701;Colored Sheets;(SELECT uuid FROM subcategory WHERE category_name='Colored Sheets')
2842975297;Bed Sheets;(SELECT uuid FROM subcategory WHERE category_name='Bed Sheets')
1702091300;Womens Sneakers;(SELECT uuid FROM subcategory WHERE category_name='Womens Sneakers')
573614161;All Cat Treats;(SELECT uuid FROM subcategory WHERE category_name='All Cat Treats')
28926816;Kids Cereal;(SELECT uuid FROM subcategory WHERE category_name='Kids Cereal')
5340752441;Plus Size Tshirts;(SELECT uuid FROM subcategory WHERE category_name='Plus Size Tshirts')
209051435;Briefs;(SELECT uuid FROM subcategory WHERE category_name='Briefs')
1836482959;Womens Thermal Underwear;(SELECT uuid FROM subcategory WHERE category_name='Womens Thermal Underwear')
681406983;Mattress Toppers;(SELECT uuid FROM subcategory WHERE category_name='Mattress Toppers')
896599636;Down Alternative Comforters;(SELECT uuid FROM subcategory WHERE category_name='Down Alternative Comforters')
5262717138;Bathroom Rugs & Bath Mats;(SELECT uuid FROM subcategory WHERE category_name='Bathroom Rugs & Bath Mats')
830467712;Dr Teals Bubble Bath;(SELECT uuid FROM subcategory WHERE category_name='Dr Teals Bubble Bath')
2834781358;Shop All Bar Stools & Counter Stools;(SELECT uuid FROM subcategory WHERE category_name='Shop All Bar Stools & Counter Stools')
1097677016;Pillowcases;(SELECT uuid FROM subcategory WHERE category_name='Pillowcases')
264801526;Bed Skirts;(SELECT uuid FROM subcategory WHERE category_name='Bed Skirts')
3283891047;Plus Size Activewear;(SELECT uuid FROM subcategory WHERE category_name='Plus Size Activewear')
994444000;Bed Skirts;(SELECT uuid FROM subcategory WHERE category_name='Bed Skirts')
